lab_name,office,fy25_enacted_k,fy26_enacted_k,fy27_request_k
Oak Ridge Institute for Science and Education,Critical Minerals and Energy Innovation,21065,16676,9330
Oak Ridge Institute for Science and Education,Hydrocarbons and Geothermal Energy,14229,12355,7807
Oak Ridge Institute for Science and Education,Other Defense Activities,589,745,745
Oak Ridge National Laboratory,Weapons Activities,42117,77034,102097
Oak Ridge National Laboratory,Defense Nuclear Nonproliferation,194670,191172,211431
Oak Ridge National Laboratory,Federal Salaries and Expenses,0,7,7
Oak Ridge National Laboratory,Science,1196410,1244270,1053046
Oak Ridge National Laboratory,Critical Minerals and Energy Innovation,129995,108990,35100
Oak Ridge National Laboratory,Electricity,29042,22590,20716
Oak Ridge National Laboratory,"Cybersecurity, Energy Security, and Emergency Response",12580,22140,13346
Oak Ridge National Laboratory,Hydrocarbons and Geothermal Energy,15960,17044,8115
Oak Ridge National Laboratory,Petroleum Reserves,600,600,600
Oak Ridge National Laboratory,Nuclear Energy,50196,65645,54546
Oak Ridge National Laboratory,Other Defense Activities,1830,1963,1963
Oak Ridge National Laboratory,Tribal Energy Loan Guarantee,10,0,0
Oak Ridge National Laboratory,Advanced Technology Vehicles Manufacturing Loan,100,100,100
Oak Ridge National Laboratory,Defense Environmental Cleanup,445673,463000,359297
Oak Ridge National Laboratory Site Office,Science,8358,8169,7224
Oak Ridge National Laboratory Site Office,Title XVII Loan Guarantee,200,300,900
Oak Ridge Office,Nuclear Energy,15311,15126,12150
Oak Ridge Office,Defense Environmental Cleanup,18477,17408,17630
Oak Ridge Reservation,Defense Environmental Cleanup,72000,75000,85800
Oak Ridge Reservation (Off-Site),Defense Environmental Cleanup,5500,5900,5100
Office of River Protection,Defense Environmental Cleanup,1960168,2195011,1967198
Office of Scientific and Technical Information,Weapons Activities,579,620,680
Office of Scientific and Technical Information,Science,12684,12365,10994
Office of Scientific and Technical Information,Other Defense Activities,167,45,45
Ohio Field Office,Other Defense Activities,5,8,8
Pacific Northwest National Laboratory,Weapons Activities,112106,123349,124145
Pacific Northwest National Laboratory,Defense Nuclear Nonproliferation,269598,195261,238832
Pacific Northwest National Laboratory,Science,207993,227249,139253
Pacific Northwest National Laboratory,Critical Minerals and Energy Innovation,111681,115541,21455
Pacific Northwest National Laboratory,Electricity,59154,53300,48332
Pacific Northwest National Laboratory,Grid Deployment Office,0,0,-1000
Pacific Northwest National Laboratory,"Cybersecurity, Energy Security, and Emergency Response",15275,16450,12061
Pacific Northwest National Laboratory,Hydrocarbons and Geothermal Energy,12753,9044,5570
Pacific Northwest National Laboratory,Nuclear Energy,32244,34667,29315
Pacific Northwest National Laboratory,Nuclear Waste,320,375,375
Pacific Northwest National Laboratory,Other Defense Activities,1197,290,290
Pacific Northwest National Laboratory,Office of Technology Commercialization,50,0,0
Pacific Northwest Site Office,Science,6742,6514,5741
Paducah Gaseous Diffusion Plant,Defense Environmental Cleanup,33152,34601,36867
Paducah Gaseous Diffusion Plant,Non-Defense Environmental Cleanup,76317,70416,80804
Paducah Gaseous Diffusion Plant,Uranium Enrichment D&D,250390,243104,274366
Pantex Plant,Weapons Activities,1111123,1168039,1343674
Pantex Plant,Defense Nuclear Nonproliferation,19973,13932,14728
Pantex Plant,Other Defense Activities,0,321,321
Pantex Field Office,Weapons Activities,221,0,0
Pantex Field Office,Federal Salaries and Expenses,16918,16658,17613
Pinellas Site,Other Defense Activities,3452,3207,3092
Portsmouth Gaseous Diffusion Plant,Weapons Activities,58400,55000,76250
Portsmouth Gaseous Diffusion Plant,Nuclear Energy,30,0,0
Portsmouth Gaseous Diffusion Plant,Other Defense Activities,2500,2400,2300
Portsmouth Gaseous Diffusion Plant,Defense Environmental Cleanup,17763,17263,19231
Portsmouth Gaseous Diffusion Plant,Non-Defense Environmental Cleanup,71683,72110,77841
Portsmouth Gaseous Diffusion Plant,Uranium Enrichment D&D,503818,531666,499987
Princeton Plasma Physics Laboratory,Defense Nuclear Nonproliferation,205,366,308
Princeton Plasma Physics Laboratory,Science,104121,105954,104862
Princeton Site Office,Science,2463,2385,2108
Richland Operations Office,Defense Nuclear Nonproliferation,1887,1795,2153
Richland Operations Office,Federal Salaries and Expenses,0,7,7
Richland Operations Office,"Cybersecurity, Energy Security, and Emergency Response",3132,5100,3209
Richland Operations Office,Departmental Administration,100,100,100
Richland Operations Office,Other Defense Activities,482,510,510
Richland Operations Office,Defense Environmental Cleanup,53288,47579,49313
Rocky Flats Site,Other Defense Activities,31195,24919,24105
Rocky Flats Site,Defense Environmental Cleanup,100,100,100
Sandia National Laboratories,Weapons Activities,3000848,2699180,3495542
Sandia National Laboratories,Defense Nuclear Nonproliferation,327732,296518,336131
Sandia National Laboratories,Science,60484,60766,43358
Sandia National Laboratories,Critical Minerals and Energy Innovation,51622,52974,16441
Sandia National Laboratories,Electricity,47461,31372,30191
Sandia National Laboratories,"Cybersecurity, Energy Security, and Emergency Response",14730,16550,11832
Sandia National Laboratories,Hydrocarbons and Geothermal Energy,20229,10120,8049
Sandia National Laboratories,Petroleum Reserves,4092,4092,3956
Sandia National Laboratories,Nuclear Energy,27449,26741,23558
Sandia National Laboratories,Nuclear Waste,2000,2100,2200
Sandia National Laboratories,Other Defense Activities,7042,4859,4859
Sandia Field Office,Federal Salaries and Expenses,19831,20672,22074
Sandia Field Office,Defense Environmental Cleanup,2264,1030,1030
Savannah River National Laboratory,Weapons Activities,86571,46146,46302
Savannah River National Laboratory,Defense Nuclear Nonproliferation,67884,56451,56661
Savannah River National Laboratory,Federal Salaries and Expenses,168,168,168
Savannah River National Laboratory,Science,3100,3100,880
Savannah River National Laboratory,Critical Minerals and Energy Innovation,500,0,0
Savannah River National Laboratory,Electricity,1200,800,800
Savannah River National Laboratory,Nuclear Energy,8992,11485,6607
Savannah River National Laboratory,Other Defense Activities,516,615,615
Savannah River National Laboratory,Office of Technology Commercialization,44,0,0
Savannah River National Laboratory,Defense Environmental Cleanup,42000,100719,90719
Savannah River Operations Office,Weapons Activities,990,955,436
Savannah River Operations Office,Defense Nuclear Nonproliferation,38918,464,1062
Savannah River Operations Office,Federal Salaries and Expenses,12230,16342,17366
Savannah River Operations Office,Departmental Administration,10703,10730,9180
Savannah River Operations Office,Defense Environmental Cleanup,217261,104717,109408
Savannah River Site,Weapons Activities,1314566,1801487,3059975
Savannah River Site,Defense Nuclear Nonproliferation,39140,35656,57428
Savannah River Site,Nuclear Energy,2190,0,0
Savannah River Site,Defense Environmental Cleanup,1594672,1592557,1614120
Separations Process Research Unit,Defense Environmental Cleanup,1300,950,950
SLAC National Accelerator Laboratory,Weapons Activities,1180,60,180
SLAC National Accelerator Laboratory,Defense Nuclear Nonproliferation,275,275,210
SLAC National Accelerator Laboratory,Science,591035,607224,475558
SLAC National Accelerator Laboratory,Critical Minerals and Energy Innovation,13959,12039,4191
SLAC National Accelerator Laboratory,Electricity,2000,1000,1000
SLAC National Accelerator Laboratory,Office of Technology Commercialization,50,0,0
SLAC Site Office,Science,2573,2566,2288
Special Technologies Laboratory,Other Defense Activities,2720,3316,3316
Strategic Petroleum Reserve - Bayou Choctow,Petroleum Reserves,14606,16295,20226
Strategic Petroleum Reserve - Big Hill,Petroleum Reserves,20779,23182,25768
Strategic Petroleum Reserve - Bryan Mound,Petroleum Reserves,21279,23739,32779
Strategic Petroleum Reserve - West Hackberry,Petroleum Reserves,26344,29390,34890
Strategic Petroleum Reserve Project Office,Petroleum Reserves,18158,18996,22447
Thomas Jefferson National Accelerator Facility,Defense Nuclear Nonproliferation,711,676,650
Thomas Jefferson National Accelerator Facility,Science,196833,229681,214841
Thomas Jefferson National Accelerator Facility,Office of Technology Commercialization,100,0,0
Thomas Jefferson Site Office,Science,2541,2407,2105
Undesignated Lab/Plant/Installation,Critical Minerals and Energy Innovation,212869,65493,42750
University of Rochester,Weapons Activities,94839,111000,88028
Washington Headquarters,Weapons Activities,1236769,1793333,3336106
Washington Headquarters,Defense Nuclear Nonproliferation,209564,481240,250820
Washington Headquarters,Naval Reactors,56318,67369,76167
Washington Headquarters,Federal Salaries and Expenses,354867,382204,425122
Washington Headquarters,Fusion,0,0,10000
Washington Headquarters,Artificial Intelligence and Quantum,0,0,1200000
Washington Headquarters,Critical Minerals and Energy Innovation,520525,559924,265629
Washington Headquarters,Electricity,40081,22263,7213
Washington Headquarters,Grid Deployment Office,0,0,-1000
Washington Headquarters,"Cybersecurity, Energy Security, and Emergency Response",56647,56360,50927
Washington Headquarters,Hydrocarbons and Geothermal Energy,199862,119392,109201
Washington Headquarters,Petroleum Reserves,110407,92896,156774
Washington Headquarters,Nuclear Energy,165529,203844,93285
Washington Headquarters,Nuclear Waste,8824,8565,8465
Washington Headquarters,Departmental Administration,549860,457254,534942
Washington Headquarters,Other Defense Activities,755778,810873,845753
Washington Headquarters,Office of Technology Commercialization,14825,0,19500
Washington Headquarters,Advanced Research Projects Agency - Energy,460000,350000,200292
Washington Headquarters,Title XVII Loan Guarantee,53500,34100,57770
Washington Headquarters,Tribal Energy Loan Guarantee,6290,6300,2000
Washington Headquarters,Advanced Technology Vehicles Manufacturing Loan,12800,9400,9400
Washington Headquarters,Defense Environmental Cleanup,197632,159643,149392
Washington Headquarters,Non-Defense Environmental Cleanup,5000,0,0
Washington Headquarters,Uranium Enrichment D&D,0,5115,5115
Washington Headquarters,Office of Clean Energy Demonstrations,50000,0,0
Washington Headquarters,Inspector General,86000,90000,77400
Waste Isolation Pilot Plant,Weapons Activities,634,500,0
Waste Isolation Pilot Plant,Defense Nuclear Nonproliferation,7108,6071,8547
Waste Isolation Pilot Plant,Defense Environmental Cleanup,489520,420000,472020
Weldon Spring Site Office,Other Defense Activities,4473,2217,2242
West Valley Demonstration Project,Defense Environmental Cleanup,7808,7589,7988
West Valley Demonstration Project,Non-Defense Environmental Cleanup,89880,89880,89880
Western Area Power Administration Office,Western Area Power Administration,1100214,1182707,1058573
Western Area Power Administration Office,Falcon & Amistad Operating & Maintenance,8110,10582,8294
Western Area Power Administration Office,Colorado River Basins Power Marketing Fund (CRBPMF),584231,451681,401722
Y-12 National Security Complex,Weapons Activities,2715071,2359117,2448735
Y-12 National Security Complex,Defense Nuclear Nonproliferation,67686,63362,96979
Y-12 National Security Complex,Science,275,0,0
Y-12 National Security Complex,Other Defense Activities,1960,1016,1016
Y-12 National Security Complex,Office of Technology Commercialization,100,0,0
Y-12 Field Office,Weapons Activities,23998,79160,13500
Y-12 Field Office,Federal Salaries and Expenses,19459,18218,20151
Y-12 Field Office,Defense Environmental Cleanup,57000,58185,61328
Other,Science,1920942,1817867,1505732
Other,Critical Minerals and Energy Innovation,416000,419000,0
Other,Electricity,11832,19693,21299
Other,Petroleum Reserves,6075,6075,3037
Undesignated LPI,Science,736941,778622,606457
Undesignated LPI,Critical Minerals and Energy Innovation,24073,280674,262600
Undesignated LPI,Electricity,43622,45409,26274
Undesignated LPI,Baseload Power,0,0,3500000
Undesignated LPI,Nuclear Energy,293365,212136,119587
Undesignated LPI,Departmental Administration,0,13000,2000
Undesignated LPI,Other Defense Activities,202782,209676,187475
Undesignated LPI,Office of Technology Commercialization,976,0,7055
Undesignated LPI,Indian Energy Policy and Programs,70000,65000,50038
Undesignated LPI,Title XVII Loan Guarantee,0,150000,200000
Undesignated LPI,Defense Uranium Enrichment D&D,285000,0,253000
Undesignated LPI,Southeastern Power Administration,94468,105030,105030
Undesignated LPI,SWPA,182891,201887,196158
Undesignated LPI,Southwestern Power Administration,182891,201887,196158
Undesignated LPI,Other (not under office subtotal),337109,415670,323842
Washington Headquarters,Other (not under office subtotal),135000,135000,138370
